n,p,h,time
125000000,1,1,19.341368
125000000,2,1,9.997666
125000000,4,1,5.000328
125000000,8,1,3.281714
125000000,16,1,1.292104
125000000,32,1,1.055973
125000000,1,2,19.353894
125000000,2,2,10.277590
125000000,4,2,5.539689
125000000,8,2,3.258766
125000000,16,2,2.163906
125000000,32,2,2.561035
125000000,1,3,19.351148
125000000,2,3,9.992283
125000000,4,3,5.006091
125000000,8,3,2.659647
125000000,16,3,1.387592
125000000,32,3,0.708062
